Base,Link,Mantenedor,Cidade,Estado,Pais,Bandeira,Categoria,Tags
Prefeitura de Bom Jesus do Itabapoana,http://transparencia.bomjesus.rj.gov.br:8079/transparencia,Bom Jesus do Itabapoana,Bom Jesus do Itabapoana,RJ,Brasil,Brasil,,Municipal
Prefeitura de Cabo Frio,http://cabofrio.rj.gov.br/transparencia/,Cabo Frio,Cabo Frio,RJ,Brasil,Brasil,,Municipal
Prefeitura de Cachoeiras de Macacu,https://e-gov.betha.com.br/transparencia/01037-004/recursos.faces?mun=NmwYKTAEBjQ=,Cachoeiras de Macacu,Cachoeiras de Macacu,RJ,Brasil,Brasil,,Municipal
Prefeitura de Cambuci,http://prefeituradecambuci.rj.gov.br/transparencia/,Cambuci,Cambuci,RJ,Brasil,Brasil,,Municipal
Prefeitura de Campos dos Goytacazes,https://transparencia.campos.rj.gov.br/home,Campos dos Goytacazes,Campos dos Goytacazes,RJ,Brasil,Brasil,,Municipal
Prefeitura de Cantagalo,https://www.cantagalo.rj.gov.br/transparencia,Cantagalo,Cantagalo,RJ,Brasil,Brasil,,Municipal
Prefeitura de Carapebus,http://pt.carapebus.rj.gov.br/,Carapebus,Carapebus,RJ,Brasil,Brasil,,Municipal
Prefeitura de Cardoso Moreira,http://transparencia.cardosomoreira.rj.gov.br:8079/transparencia/,Cardoso Moreira,Cardoso Moreira,RJ,Brasil,Brasil,,Municipal
Prefeitura de Carmo,http://www.carmo.rj.gov.br/transparencia,Carmo,Carmo,RJ,Brasil,Brasil,,Municipal
Prefeitura de Casimiro de Abreu,http://transparencia.casimirodeabreu.rj.gov.br/,Casimiro de Abreu,Casimiro de Abreu,RJ,Brasil,Brasil,,Municipal
Prefeitura de Comendador Levy Gasparian,http://pt.levygasparian.rj.gov.br/,Comendador Levy Gasparian,Comendador Levy Gasparian,RJ,Brasil,Brasil,,Municipal
Prefeitura de Conceição de Macabu,http://pt.conceicaodemacabu.rj.gov.br/,Conceição de Macabu,Conceição de Macabu,RJ,Brasil,Brasil,,Municipal
Prefeitura de Cordeiro,http://www.cordeiro.rj.gov.br/portal,Cordeiro,Cordeiro,RJ,Brasil,Brasil,,Municipal
Prefeitura de Duas Barras,http://www.duasbarras.rj.gov.br/portal,Duas Barras,Duas Barras,RJ,Brasil,Brasil,,Municipal
Prefeitura de Duque de Caxias,http://transparencia.duquedecaxias.rj.gov.br/,Duque de Caxias,Duque de Caxias,RJ,Brasil,Brasil,,Municipal
Prefeitura de Engenheiro Paulo de Frontin,https://e-gov.betha.com.br/transparencia/01037-004/recursos.faces?mun=LM2jR8s96JlZWH5V0U0nBOKj-tSyQHef,Engenheiro Paulo de Frontin,Engenheiro Paulo de Frontin,RJ,Brasil,Brasil,,Municipal
Prefeitura de Guapimirim,http://guapimirim.rj.gov.br/transparencia/,Guapimirim,Guapimirim,RJ,Brasil,Brasil,,Municipal
Prefeitura de Iguaba Grande,http://digital.iguaba.rj.gov.br/,Iguaba Grande,Iguaba Grande,RJ,Brasil,Brasil,,Municipal
Prefeitura de Itaboraí,https://www.itaborai.rj.gov.br/cidade-transparente/,Itaboraí,Itaboraí,RJ,Brasil,Brasil,,Municipal
Prefeitura de Itaguaí,http://transparencia.itaguai.rj.gov.br/,Itaguaí,Itaguaí,RJ,Brasil,Brasil,,Municipal
Prefeitura de Italva,http://transparencia.italva.rj.gov.br/pronimtb/index.asp,Italva,Italva,RJ,Brasil,Brasil,,Municipal
Prefeitura de Itaocara,http://itaocara.rj.gov.br/transparencia/,Itaocara,Itaocara,RJ,Brasil,Brasil,,Municipal
Prefeitura de Itaperuna,http://177.223.12.122:81/pronimtb/,Itaperuna,Itaperuna,RJ,Brasil,Brasil,,Municipal
Prefeitura de Itatiaia,https://itatiaia.rj.gov.br/acesso-a-informacao,Itatiaia,Itatiaia,RJ,Brasil,Brasil,,Municipal
Prefeitura de Japeri,http://www.japeri.rj.gov.br/novatransparencia/,Japeri,Japeri,RJ,Brasil,Brasil,,Municipal
Prefeitura de Laje do Muriaé,http://laje.rj.gov.br/transparencia/,Laje do Muriaé,Laje do Muriaé,RJ,Brasil,Brasil,,Municipal
Prefeitura de Macaé,http://sistemas.macae.rj.gov.br:84/transparencia/,Macaé,Macaé,RJ,Brasil,Brasil,,Municipal
Prefeitura de Macuco,http://prefeituramacuco.rj.gov.br/prefpop/index.html,Macuco,Macuco,RJ,Brasil,Brasil,,Municipal
